,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,291.98,45,60,3.13,ZA,1624157292
1,mar del plata,-38.0023,-57.5575,280.44,68,75,0.89,AR,1624157292
2,cape town,-33.9258,18.4232,292.1,42,0,3.6,ZA,1624157065
3,tupik,54.4253,119.9327,290.71,75,85,2.36,RU,1624157293
4,victoria,22.2855,114.1577,306.18,83,100,3.13,HK,1624157155
5,vaini,-21.2,-175.2,299.24,83,20,3.09,TO,1624157294
6,kruisfontein,-34.0033,24.7314,289.05,32,18,4.62,ZA,1624157260
7,pozoblanco,38.3791,-4.8483,286.47,74,61,1.69,ES,1624157295
8,safaga,26.7292,33.9365,298.12,38,0,6.54,EG,1624157296
9,yellowknife,62.456,-114.3525,287.44,41,75,4.12,CA,1624157297
10,husavik,66.0449,-17.3389,279.1,80,98,2.23,IS,1624157297
11,constitucion,-35.3333,-72.4167,283.75,73,97,1.37,CL,1624157298
12,puerto ayora,-0.7393,-90.3518,296.23,90,87,3.13,EC,1624157298
13,bethanien,-26.502,17.1583,286.11,40,0,2.8,NA,1624157298
14,punta arenas,-53.15,-70.9167,276.21,87,0,5.66,CL,1624157299
15,port hardy,50.6996,-127.4199,288.25,94,90,0.0,CA,1624157299
16,bethel,41.3712,-73.414,293.76,91,100,2.77,US,1624157300
17,bredasdorp,-34.5322,20.0403,283.77,76,15,2.06,ZA,1624157300
18,rikitea,-23.1203,-134.9692,297.23,75,2,7.9,PF,1624157301
19,klaksvik,62.2266,-6.589,281.66,88,96,6.44,FO,1624157301
20,sao filipe,14.8961,-24.4956,295.48,83,7,2.26,CV,1624157301
21,tianmen,30.6516,113.1603,298.03,62,99,1.1,CN,1624157302
22,grand gaube,-20.0064,57.6608,295.37,74,51,1.34,MU,1624157302
23,viedma,-40.8135,-62.9967,277.47,86,43,4.29,AR,1624157217
24,karaman,37.0833,33.25,289.44,47,0,0.65,TR,1624157303
25,mataura,-46.1927,168.8643,283.01,83,63,2.28,NZ,1624157304
26,nouadhibou,20.931,-17.0347,292.14,72,0,9.77,MR,1624157297
27,port elizabeth,-33.918,25.5701,290.26,40,37,4.02,ZA,1624157113
28,atuona,-9.8,-139.0333,299.58,74,13,9.05,PF,1624157305
29,ushuaia,-54.8,-68.3,275.96,87,20,6.69,AR,1624157305
30,georgetown,5.4112,100.3354,302.11,81,20,0.0,MY,1624157195
31,isangel,-19.55,169.2667,299.88,74,95,4.37,VU,1624157306
32,kapaa,22.0752,-159.319,302.14,73,40,2.24,US,1624157307
33,butaritari,3.0707,172.7902,300.67,71,7,0.75,KI,1624157307
34,new norfolk,-42.7826,147.0587,283.1,65,9,0.81,AU,1624157307
35,saint-pierre,-21.3393,55.4781,293.31,74,40,4.12,RE,1624157103
36,albany,42.6001,-73.9662,295.21,79,99,3.87,US,1624157308
37,avarua,-21.2078,-159.775,298.18,69,40,5.14,CK,1624157309
38,san pedro,14.35,121.0167,305.72,68,40,6.69,PH,1624157309
39,digha,21.6833,87.55,300.64,79,100,4.98,IN,1624157310
40,inirida,3.8653,-67.9239,296.16,97,90,0.41,CO,1624157310
41,rawah,34.4816,41.9093,297.86,39,0,6.16,IQ,1624157310
42,lata,40.1629,-8.3327,287.55,85,96,2.86,PT,1624157311
43,narsipatnam,17.6667,82.6167,303.82,63,97,2.91,IN,1624157209
44,alice springs,-23.7,133.8833,287.9,51,14,3.6,AU,1624157163
45,hithadhoo,-0.6,73.0833,301.78,69,72,5.81,MV,1624157313
46,tevaitoa,-16.7833,-151.5,300.22,78,39,6.49,PF,1624157313
47,ancud,-41.8697,-73.8203,281.61,84,100,2.39,CL,1624157314
48,barrow,71.2906,-156.7887,274.16,86,90,5.66,US,1624157314
49,morant bay,17.8815,-76.4093,301.94,88,98,4.53,JM,1624157314
50,jalu,29.0331,21.5482,295.52,48,0,3.41,LY,1624157315
51,nikolskoye,59.7035,30.7861,295.26,71,0,2.54,RU,1624157315
52,tiksi,71.6872,128.8694,287.4,57,33,1.69,RU,1624157316
53,kavaratti,10.5669,72.642,301.4,76,100,9.34,IN,1624157316
54,lompoc,34.6391,-120.4579,296.23,85,1,3.6,US,1624157190
55,cairns,-16.9167,145.7667,300.9,49,74,4.63,AU,1624157214
56,kumano,34.3442,132.5894,298.8,48,53,0.7,JP,1624157317
57,obo,5.3998,26.4869,292.54,98,100,0.64,CF,1624157318
58,surt,31.2089,16.5887,295.68,66,0,2.78,LY,1624157318
59,bozeman,45.6796,-111.0386,295.83,44,20,4.12,US,1624157191
60,mount darwin,-16.7725,31.5838,281.95,88,1,1.52,ZW,1624157319
61,castro,-24.7911,-50.0119,285.83,96,98,3.43,BR,1624157312
62,alofi,-19.0595,-169.9187,298.09,83,31,5.66,NU,1624157320
63,caravelas,-17.7125,-39.2481,295.67,69,100,3.74,BR,1624157320
64,yershichi,53.6725,32.7542,291.01,94,0,1.74,RU,1624157321
