,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,katsuura,35.1333,140.3,298.84,88,98,6.84,JP,1624158960
1,rikitea,-23.1203,-134.9692,297.23,75,2,7.9,PF,1624158961
2,yar-sale,66.8333,70.8333,285.21,54,94,5.68,RU,1624158961
3,puerto ayora,-0.7393,-90.3518,296.23,90,87,2.68,EC,1624158962
4,awjilah,29.1081,21.2869,295.03,50,0,3.71,LY,1624158962
5,punta arenas,-53.15,-70.9167,277.21,81,0,6.69,CL,1624158963
6,mataura,-46.1927,168.8643,280.64,83,63,2.28,NZ,1624158963
7,cidreira,-30.1811,-50.2056,288.22,95,100,5.48,BR,1624158964
8,bambous virieux,-20.3428,57.7575,295.29,68,40,5.66,MU,1624158964
9,arraial do cabo,-22.9661,-42.0278,294.41,81,12,14.61,BR,1624158965
10,thompson,55.7435,-97.8558,282.24,87,75,3.09,CA,1624158965
11,lavrentiya,65.5833,-171.0,283.49,65,89,2.19,RU,1624158967
12,pozo colorado,-23.4923,-58.7972,282.02,82,5,1.18,PY,1624158967
13,naze,28.3667,129.4833,297.66,72,100,3.9,JP,1624158968
14,hermanus,-34.4187,19.2345,292.54,45,60,3.13,ZA,1624158968
15,cherskiy,68.75,161.3,286.22,61,99,6.81,RU,1624158968
16,ust-ishim,57.6935,71.1665,284.55,84,100,3.73,RU,1624158969
17,tommot,58.9564,126.2925,298.78,60,93,1.96,RU,1624158969
18,kaitangata,-46.2817,169.8464,283.01,90,95,4.06,NZ,1624158970
19,nikolskoye,59.7035,30.7861,294.09,71,0,2.54,RU,1624158970
20,ixtapa,20.7,-105.2,298.28,91,100,0.45,MX,1624158971
21,saa,4.3667,11.45,292.57,99,85,0.27,CM,1624158972
22,fairbanks,64.8378,-147.7164,293.83,71,90,3.6,US,1624158972
23,hofn,64.2539,-15.2082,279.81,85,100,1.74,IS,1624158972
24,bengkulu,-3.8004,102.2655,301.4,64,90,1.39,ID,1624158973
25,victoria,22.2855,114.1577,306.18,82,100,3.13,HK,1624158682
26,sarapul,56.4763,53.7978,295.05,75,4,5.05,RU,1624158974
27,atuona,-9.8,-139.0333,299.58,74,13,9.05,PF,1624158974
28,albany,42.6001,-73.9662,295.08,79,99,3.87,US,1624158975
